Material Repair Log - 2026-02-22 01:36:17.380796
============================================================

3DKitbashing/cameras_and_sensors_01_assets.blend: found=5, marked=0, skipped=5
kpacks/KB 03 Circular Cores/080_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 03 Circular Cores/081_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 03 Circular Cores/082_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 03 Circular Cores/085_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 03 Circular Cores/087_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 03 Circular Cores/088_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 03 Circular Cores/090_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 03 Circular Cores/373_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 03 Circular Cores/449_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 03 Circular Cores/466_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/015_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/018_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/023_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/024_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/041_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/110_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/127_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/133_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/139_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/145_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/155_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/176_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/179_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/205_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/212_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/250_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/261_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/285_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/291_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/301_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/312_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/340_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/360_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/361_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/362_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/372_assets.blend: found=3, marked=1, skipped=2
kpacks/KB 04 Frames/378_assets.blend: found=3, marked=1, skipped=2
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 04 Frames/421_assets.blend"

kpacks/KB 04 Frames/421_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 04 Frames/453_assets.blend"

kpacks/KB 04 Frames/453_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 04 Frames/457_assets.blend"

kpacks/KB 04 Frames/457_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 04 Frames/459_assets.blend"

kpacks/KB 04 Frames/459_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/002_assets.blend"

kpacks/KB 05 Hydraulic/002_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/045_assets.blend"

kpacks/KB 05 Hydraulic/045_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/047_assets.blend"

kpacks/KB 05 Hydraulic/047_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/050_assets.blend"

kpacks/KB 05 Hydraulic/050_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/083_assets.blend"

kpacks/KB 05 Hydraulic/083_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/095_assets.blend"

kpacks/KB 05 Hydraulic/095_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/096_assets.blend"

kpacks/KB 05 Hydraulic/096_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/097_assets.blend"

kpacks/KB 05 Hydraulic/097_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/100_assets.blend"

kpacks/KB 05 Hydraulic/100_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/101_assets.blend"

kpacks/KB 05 Hydraulic/101_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/102_assets.blend"

kpacks/KB 05 Hydraulic/102_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/105_assets.blend"

kpacks/KB 05 Hydraulic/105_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 05 Hydraulic/107_assets.blend"

kpacks/KB 05 Hydraulic/107_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/046_assets.blend"

kpacks/KB 06 Panel Boxes/046_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/049_assets.blend"

kpacks/KB 06 Panel Boxes/049_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/104_assets.blend"

kpacks/KB 06 Panel Boxes/104_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/157_assets.blend"

kpacks/KB 06 Panel Boxes/157_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/199_assets.blend"

kpacks/KB 06 Panel Boxes/199_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/206_assets.blend"

kpacks/KB 06 Panel Boxes/206_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/207_assets.blend"

kpacks/KB 06 Panel Boxes/207_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/208_assets.blend"

kpacks/KB 06 Panel Boxes/208_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/209_assets.blend"

kpacks/KB 06 Panel Boxes/209_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/210_assets.blend"

kpacks/KB 06 Panel Boxes/210_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/221_assets.blend"

kpacks/KB 06 Panel Boxes/221_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/226_assets.blend"

kpacks/KB 06 Panel Boxes/226_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/234_assets.blend"

kpacks/KB 06 Panel Boxes/234_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/235_assets.blend"

kpacks/KB 06 Panel Boxes/235_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/245_assets.blend"

kpacks/KB 06 Panel Boxes/245_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/254_assets.blend"

kpacks/KB 06 Panel Boxes/254_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/262_assets.blend"

kpacks/KB 06 Panel Boxes/262_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/269_assets.blend"

kpacks/KB 06 Panel Boxes/269_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/272_assets.blend"

kpacks/KB 06 Panel Boxes/272_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/274_assets.blend"

kpacks/KB 06 Panel Boxes/274_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/275_assets.blend"

kpacks/KB 06 Panel Boxes/275_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/277_assets.blend"

kpacks/KB 06 Panel Boxes/277_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/283_assets.blend"

kpacks/KB 06 Panel Boxes/283_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/294_assets.blend"

kpacks/KB 06 Panel Boxes/294_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/304_assets.blend"

kpacks/KB 06 Panel Boxes/304_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/317_assets.blend"

kpacks/KB 06 Panel Boxes/317_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/318_assets.blend"

kpacks/KB 06 Panel Boxes/318_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/328_assets.blend"

kpacks/KB 06 Panel Boxes/328_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/329_assets.blend"

kpacks/KB 06 Panel Boxes/329_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/339_assets.blend"

kpacks/KB 06 Panel Boxes/339_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/342_assets.blend"

kpacks/KB 06 Panel Boxes/342_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/349_assets.blend"

kpacks/KB 06 Panel Boxes/349_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/350_assets.blend"

kpacks/KB 06 Panel Boxes/350_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/364_assets.blend"

kpacks/KB 06 Panel Boxes/364_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/370_assets.blend"

kpacks/KB 06 Panel Boxes/370_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/383_assets.blend"

kpacks/KB 06 Panel Boxes/383_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/402_assets.blend"

kpacks/KB 06 Panel Boxes/402_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/404_assets.blend"

kpacks/KB 06 Panel Boxes/404_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/412_assets.blend"

kpacks/KB 06 Panel Boxes/412_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/417_assets.blend"

kpacks/KB 06 Panel Boxes/417_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/439_assets.blend"

kpacks/KB 06 Panel Boxes/439_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/452_assets.blend"

kpacks/KB 06 Panel Boxes/452_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/461_assets.blend"

kpacks/KB 06 Panel Boxes/461_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 06 Panel Boxes/481_assets.blend"

kpacks/KB 06 Panel Boxes/481_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/012_assets.blend"

kpacks/KB 07 Swivels/012_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/026_assets.blend"

kpacks/KB 07 Swivels/026_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/027_assets.blend"

kpacks/KB 07 Swivels/027_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/033_assets.blend"

kpacks/KB 07 Swivels/033_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/034_assets.blend"

kpacks/KB 07 Swivels/034_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/037_assets.blend"

kpacks/KB 07 Swivels/037_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/044_assets.blend"

kpacks/KB 07 Swivels/044_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/057_assets.blend"

kpacks/KB 07 Swivels/057_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/075_assets.blend"

kpacks/KB 07 Swivels/075_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/089_assets.blend"

kpacks/KB 07 Swivels/089_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/092_assets.blend"

kpacks/KB 07 Swivels/092_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/103_assets.blend"

kpacks/KB 07 Swivels/103_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/121_assets.blend"

kpacks/KB 07 Swivels/121_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/132_assets.blend"

kpacks/KB 07 Swivels/132_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/256_assets.blend"

kpacks/KB 07 Swivels/256_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/259_assets.blend"

kpacks/KB 07 Swivels/259_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/271_assets.blend"

kpacks/KB 07 Swivels/271_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/306_assets.blend"

kpacks/KB 07 Swivels/306_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/307_assets.blend"

kpacks/KB 07 Swivels/307_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/354_assets.blend"

kpacks/KB 07 Swivels/354_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/432_assets.blend"

kpacks/KB 07 Swivels/432_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/476_assets.blend"

kpacks/KB 07 Swivels/476_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/478_assets.blend"

kpacks/KB 07 Swivels/478_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/484_assets.blend"

kpacks/KB 07 Swivels/484_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/509_assets.blend"

kpacks/KB 07 Swivels/509_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 07 Swivels/510_assets.blend"

kpacks/KB 07 Swivels/510_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/038_assets.blend"

kpacks/KB 08 Tools/038_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/070_assets.blend"

kpacks/KB 08 Tools/070_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/074_assets.blend"

kpacks/KB 08 Tools/074_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/076_assets.blend"

kpacks/KB 08 Tools/076_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/077_assets.blend"

kpacks/KB 08 Tools/077_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/084_assets.blend"

kpacks/KB 08 Tools/084_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/091_assets.blend"

kpacks/KB 08 Tools/091_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/093_assets.blend"

kpacks/KB 08 Tools/093_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/094_assets.blend"

kpacks/KB 08 Tools/094_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/098_assets.blend"

kpacks/KB 08 Tools/098_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/099_assets.blend"

kpacks/KB 08 Tools/099_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/141_assets.blend"

kpacks/KB 08 Tools/141_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/204_assets.blend"

kpacks/KB 08 Tools/204_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/338_assets.blend"

kpacks/KB 08 Tools/338_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 08 Tools/492_assets.blend"

kpacks/KB 08 Tools/492_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/129_assets.blend"

kpacks/KB 09 Tube/129_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/163_assets.blend"

kpacks/KB 09 Tube/163_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/165_assets.blend"

kpacks/KB 09 Tube/165_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/175_assets.blend"

kpacks/KB 09 Tube/175_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/184_assets.blend"

kpacks/KB 09 Tube/184_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/186_assets.blend"

kpacks/KB 09 Tube/186_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/190_assets.blend"

kpacks/KB 09 Tube/190_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/191_assets.blend"

kpacks/KB 09 Tube/191_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/211_assets.blend"

kpacks/KB 09 Tube/211_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/236_assets.blend"

kpacks/KB 09 Tube/236_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/249_assets.blend"

kpacks/KB 09 Tube/249_assets.blend: found=0, marked=0, skipped=0
  ERROR: File error: Error: File format is not supported in file "/Volumes/Storage/3d/kitbash/converted_assets/kpacks/KB 09 Tube/255_assets.blend"

